Provider,__target__,inp_n_claims,inp_total_money,inp_mean_money,inp_median_money,inp_n_diag_codes,inp_n_proc_codes,inp_mean_claim_days,inp_median_claim_days,inp_sum_deductible,inp_mean_physicians_per_claim,inp_n_unique_bene,inp_n_unique_physicians,inp_mean_los,inp_median_los,inp_total_los,outp_n_claims,outp_total_money,outp_mean_money,outp_median_money,outp_n_diag_codes,outp_n_proc_codes,outp_mean_claim_days,outp_median_claim_days,outp_sum_deductible,outp_mean_physicians_per_claim,outp_n_unique_bene,outp_n_unique_physicians,bene_renaldiseaseindicator_mean,bene_chroniccond_alzheimer_mean,bene_chroniccond_heartfailure_mean,bene_chroniccond_kidneydisease_mean,bene_chroniccond_cancer_mean,bene_chroniccond_obstrpulmonary_mean,bene_chroniccond_depression_mean,bene_chroniccond_diabetes_mean,bene_chroniccond_ischemicheart_mean,bene_chroniccond_osteoporasis_mean,bene_chroniccond_rheumatoidarthritis_mean,bene_chroniccond_stroke_mean,bene_age_approx_mean,bene_age_approx_median
PRV51001,0,5.0,102340.0,20468.0,13068.0,41.0,3.0,5.0,4.0,5340.0,1.6,5.0,4.0,5.0,4.0,25.0,20.0,7640.0,382.0,150.0,50.0,0.0,0.55,0.0,0.0,1.2,19.0,10.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.82169746748802,77.21697467488022
PRV51003,1,62.0,639216.0,10309.935483870968,8068.0,565.0,48.0,5.161290322580645,4.0,66216.0,1.1129032258064515,53.0,2.0,5.161290322580645,4.0,320.0,70.0,32740.0,467.7142857142857,90.0,206.0,0.0,2.357142857142857,0.0,70.0,1.2428571428571429,66.0,44.0,0.18803418803418803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,68.68376068376068,71.01437371663245
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,52480.0,352.2147651006711,70.0,413.0,0.0,1.429530201342282,0.0,310.0,1.3221476510067114,138.0,38.0,0.14492753623188406,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.15040323780615,72.97878165639972
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,284610.0,244.30042918454936,70.0,3268.0,0.0,1.088412017167382,0.0,3700.0,1.2094420600858369,495.0,6.0,0.1595959595959596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.74444790132675,70.51060917180014
PRV51007,0,3.0,22204.0,7401.333333333333,7068.0,25.0,1.0,5.333333333333333,5.0,3204.0,1.3333333333333333,3.0,2.0,5.333333333333333,5.0,16.0,69.0,14770.0,214.05797101449275,70.0,207.0,0.0,0.7681159420289855,0.0,60.0,1.1159420289855073,56.0,8.0,0.15517241379310345,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,67.69930845665463,69.98220396988364
PRV51008,0,2.0,27136.0,13568.0,13568.0,17.0,2.0,4.0,4.0,2136.0,2.0,2.0,2.0,4.0,4.0,8.0,41.0,10810.0,263.6585365853659,90.0,128.0,0.0,1.4146341463414633,0.0,180.0,1.2195121951219512,34.0,8.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.42299794661191,74.69952087611225
PRV51011,0,1.0,6068.0,6068.0,6068.0,9.0,0.0,5.0,5.0,1068.0,1.0,1.0,1.0,5.0,5.0,5.0,57.0,11930.0,209.2982456140351,80.0,151.0,0.0,0.47368421052631576,0.0,300.0,1.368421052631579,52.0,27.0,0.20754716981132076,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,72.89982307285008,73.11430527036276
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,16990.0,353.9583333333333,60.0,140.0,0.0,3.7083333333333335,0.0,100.0,1.25,31.0,14.0,0.16129032258064516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75.27367468150405,73.01026694045174
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,15110.0,328.4782608695652,90.0,129.0,0.0,1.4565217391304348,0.0,230.0,1.108695652173913,44.0,9.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.70854333893348,74.11088295687884
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10600.0,353.3333333333333,80.0,115.0,0.0,0.4666666666666667,0.0,120.0,1.3666666666666667,25.0,7.0,0.24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71.48889801505817,74.02053388090349
